brand,product_name,product_url,image_url,product_price,description,metadata,metadata_features
GlobalDesi,Undyed Viscose Blend Wide Leg Pants,https://www.globaldesi.in/Women/All-Clothing/Bottoms-SS24GM042BTRL_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw77437c33/images/hires/S23/GD-SS24GM042BTRL-WHITE%20(2).jpg?sw=1300&sh=1950&sm=fit&strip=false,1690.0,"Keep it easy, breezy and stylish this summer with these wide leg pants. Crafted in a viscose linen blend, these pants feature a button closure and a relaxed fit, to give you those summer feels!",{},
GlobalDesi,Embroidered Cotton Top,https://www.globaldesi.in/Women/All-Clothing/Tops-SS24GS158TPCD_RUST.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw0bd32ed5/images/hires/S23/GD-SS24GS158TPCD-RUST-(1).jpg?sw=1300&sh=1950&sm=fit&strip=false,1145.0,"Make every day stylish with this cute top. Featuring floral embriodery along the neckline, gathers at the waist and a casual V-neck with button closures, this top has been crafted with 100% cotton to keep you cool this summer.",{},
GlobalDesi,Jheel Top,https://www.globaldesi.in/Women/All-Clothing/Tops-S25S12TP_SAGE_GREEN.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwc4b5ebe1/images/hires/SS22/S25S12TP_SAGE%20GREEN%20(2)%20copy%202.jpg?sw=1300&sh=1950&sm=fit&strip=false,2290.0,"Elevate your casual wear in this elegant blue top that comes in relaxed fit. Crafted in soft & flowy modal for all-day comfort, this top features floral prints, adding a touch of feminine elegance to your look. Style it up with beaded jewellery or delicate metal danglers to match the occasion.
The scarf seen on the model is for styling purpose only.",{},
GlobalDesi,The Ice Gola Top,https://www.globaldesi.in/Women/All-Clothing/Tops-S25M141TP_PINK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwfbb60fcd/images/hires/SS22/GD-S25M141TP_PINK%20(2).jpg?sw=1300&sh=1950&sm=fit&strip=false,3990.0,"Easy to wear and easy to style, this lightweight pink top features bold geometric embroidery & a tonal stripe print. Pair it with white pants for an effortless brunch look.
The scarf seen on the model is for styling purpose only.",{},
GlobalDesi,White Cotton Top,https://www.globaldesi.in/Women/All-Clothing/Tops-F24M200TP_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw546eaae1/images/hires/SS22/GD-F24M200TP-WHITE-(2).jpg?sw=1300&sh=1950&sm=fit&strip=false,790.0,"Keep it casual with this white cotton crop top. The breathable fabric makes you feel comfortable all day long. It features a round neck and sleevless design, making it an ideal piece for your everyday fit.",{},
GlobalDesi,Sunehri Kaftan Maxi,https://www.globaldesi.in/Women/All-Clothing/Dresses-F24H95KF_MUSTARD.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw5eb034ac/images/hires/SS22/F24H95KF_MUSTARD%20(7).jpg?sw=1300&sh=1950&sm=fit&strip=false,7990.0,"Unveil your style with the Sunehri Kaftan Maxi, adorned with a stunning India-inspired print and graceful bell sleeves. The eye-catching placement print, complemented by exquisite bead embroidery. This Kaftan is a versatile choice for every occasion.",{},
GlobalDesi,The Red Goddess Co-Ord,https://www.globaldesi.in/Women/All-Clothing/Co-ords-F24M733P_RED.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw5eb26b9a/images/hires/SS22/GD-F24M733P-RED-(1).jpg?sw=1300&sh=1950&sm=fit&strip=false,7990.0,"Amp up the style quotient at any occasion with this 3-piece set, featuring gold foil print on the shrug and pants. The pants also boast a 2-inch elasticated waist to create a more shapely and comfortable fit. The top features smocking in the back with adjustable straps and colourful mirror work. The shrug boasts the same mirror work along its opening and is crafted with a semi-sheer material to give you an elegant look.",{},
GlobalDesi,Ethnic Motif Printed Black Viscose Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-SS24GG149KURTW_BLACK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw95253c24/images/hires/S23/GD-SS24GG149KURTW-BLACK-(2)-copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,1245.0,"Looking for a quick fusion look? Then this kurta is it! Crafted using 100% viscose, this kurta features vibrant ethnic motifs ande high side slits that takes your look from ordinary to extraordinary in a matter of minutes!",{},
GlobalDesi,Saare Naache Shrug Set,https://www.globaldesi.in/Women/All-Clothing/Dresses-S25M1462P_RED.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw7437e16e/images/hires/SS22/GD-S25M1462P_RED%20(5).jpg?sw=1300&sh=1950&sm=fit&strip=false,12990.0,"Celebrate in style with this vibrant co-ord set. Crafted in a soft & breathable viscose blend fabric, this set features India-inspired prints & delicate embroidery all over. Pair it with statement jhumkas to complete your festive look.",{},
GlobalDesi,Gold Chanderi Sharara,https://www.globaldesi.in/Women/All-Clothing/Bottoms/Shararas-S25S173SH_BEIGE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw3f4d4cbe/images/hires/SS22/GD-F24S173SH-BEIGE-(4).jpg?sw=1300&sh=1950&sm=fit&strip=false,2990.0,"Enhance your festive wardrobe with this timeless chanderi gold sharara, adorned with a delicate foil print, crafted from 100% Viscose. Complete your ensemble by pairing it with your favorite kurta for an elegant finish.",{},
GlobalDesi,Dilbar Tunic,https://www.globaldesi.in/Women/All-Clothing/Tops-S25P27TU_INDIGO.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw6602a39b/images/hires/SS22/S25P27TU_INDIGO%20(5).jpg?sw=1300&sh=1950&sm=fit&strip=false,1890.0,"Elevate your summer style with this tunic adorned with India-inspired prints. Crafted in a flowy fabric, it features pintuck details at the front and comes with three-quarter bell sleeves. Style it with white or ecru straight pants for brunch or or day dates.
Set Includes: Tunic
The bottom seen on the model is for styling purpose only.",{},
